Symbol,Date,High,Low,Open,Close,Volume,Adj Close,Return,EqW VaR,ExpW_mc VaR
BTC,2022-04-08,43903.01953125,42183.2890625,43505.13671875,42287.6640625,27215995394.0,42287.6640625,-0.02795577079433975,-0.06255641898138342,-0.05197340508448704
BTC,2022-04-07,43860.69921875,42899.90625,43207.5,43503.84765625,26101973106.0,43503.84765625,0.006876459247305178,-0.06255641898138342,-0.05199813322706163
BTC,2022-04-06,45544.35546875,43193.953125,45544.35546875,43206.73828125,39393395788.0,43206.73828125,-0.05156849392240015,-0.06255641898138342,-0.05202236680678472
BTC,2022-04-05,47106.140625,45544.80859375,46624.5078125,45555.9921875,29640604055.0,45555.9921875,-0.02287907280900814,-0.06255641898138342,-0.05186255321176668
BTC,2022-04-04,46791.08984375,45235.81640625,46445.2734375,46622.67578125,32499785455.0,46622.67578125,0.003640395949819908,-0.06255641898138342,-0.0549345397351505
BTC,2022-04-03,47313.4765625,45634.10546875,45859.12890625,46453.56640625,25414397610.0,46453.56640625,0.012745379989237415,-0.06255641898138342,-0.05624408954023502
BTC,2022-04-02,47028.28125,45782.51171875,46285.5,45868.94921875,29336594194.0,45868.94921875,-0.008917040798352427,-0.06255641898138342,-0.05657553831413641
BTC,2022-04-01,46616.2421875,44403.140625,45554.1640625,46281.64453125,38162644287.0,46281.64453125,0.016315115388267687,-0.06255641898138342,-0.056923854245836174
BTC,2022-03-31,47512.02734375,45390.5390625,47062.1484375,45538.67578125,33327427106.0,45538.67578125,-0.03238210822970233,-0.06255641898138342,-0.057398291078187516
BTC,2022-03-30,47655.1484375,46746.2109375,47456.8984375,47062.6640625,29333883962.0,47062.6640625,-0.008491735032190584,-0.06255641898138342,-0.06026032488422844
BTC,2022-03-29,48022.2890625,47100.4375,47100.4375,47465.73046875,31397059069.0,47465.73046875,0.0071661546110000085,-0.06255641898138342,-0.06026477701748278
BTC,2022-03-28,48086.8359375,46690.203125,46821.8515625,47128.00390625,36362175703.0,47128.00390625,0.0065678873583499,-0.06255641898138342,-0.060269140108072036
BTC,2022-03-27,46827.546875,44437.29296875,44505.35546875,46820.4921875,28160889722.0,46820.4921875,0.052126312256127294,-0.06255641898138342,-0.06027341593684951
BTC,2022-03-26,44735.99609375,44166.2734375,44349.859375,44500.828125,16950455995.0,44500.828125,0.003429583093865096,-0.06255641898138342,-0.06075803810442635
BTC,2022-03-25,44999.4921875,43706.28515625,43964.546875,44348.73046875,30574413034.0,44348.73046875,0.008821397620525806,-0.06255641898138342,-0.060888383791679636
BTC,2022-03-24,44131.85546875,42726.1640625,42886.65234375,43960.93359375,31042992291.0,43960.93359375,0.024898646221148013,-0.06255641898138342,-0.061016122565187854
BTC,2022-03-23,42893.5078125,41877.5078125,42364.37890625,42892.95703125,25242943069.0,42892.95703125,0.012610091153007819,-0.06255641898138342,-0.06114130656322591
BTC,2022-03-22,43124.70703125,40948.28125,41074.10546875,42358.80859375,32004652376.0,42358.80859375,0.031180014163224357,-0.06255641898138342,-0.0612639868813032
BTC,2022-03-21,41454.41015625,40668.04296875,41246.1328125,41077.99609375,24615543271.0,41077.99609375,-0.004117262624553253,-0.06255641898138342,-0.06138421359301896
BTC,2022-03-20,42241.1640625,41004.7578125,42191.40625,41247.82421875,20127946682.0,41247.82421875,-0.022346848712323064,-0.06255641898138342,-0.06150203577050039
BTC,2022-03-19,42316.5546875,41602.66796875,41794.6484375,42190.65234375,19664853187.0,42190.65234375,0.009317830622209256,-0.06255641898138342,-0.061617501504432196
BTC,2022-03-18,42195.74609375,40302.3984375,40944.83984375,41801.15625,34421564942.0,41801.15625,0.020750884742987363,-0.06255641898138342,-0.061730657923685366
BTC,2022-03-17,41287.53515625,40662.87109375,41140.84375,40951.37890625,22009601093.0,40951.37890625,-0.00467993171076464,-0.06255641898138342,-0.06184155121455347
